Train Episode,Train Score,50-Episode Average
1,-293.39869059688834,-293.39869059688834
2,-121.09599940102441,-207.24734499895638
3,-277.2951440978828,-230.5966113652652
4,-142.4422837902523,-208.558029471512
5,-202.8559792853266,-207.4176194342749
6,-129.0186654833631,-194.35112710912293
7,-437.47039504062053,-229.08245109933688
8,-383.77272791581083,-248.41873570139614
9,-81.676301671336,-229.89179858694504
10,-332.70554872600593,-240.17317360085113
11,-63.581217331568226,-224.11935939455267
12,-179.2478384345241,-220.38006598121694
13,-113.0155187552361,-212.12125465614147
14,-131.954512083972,-206.39505875812938
15,-116.5503061452749,-200.40540858393908
16,-270.4181563346815,-204.7812053183605
17,-104.27953117817657,-198.86934213364378
18,-85.68719364989674,-192.58144499565785
19,-180.826933091537,-191.9627864743883
20,-130.33678172230066,-188.88148623678393
21,-356.6066701113032,-196.8683997546182
22,-428.0321794747417,-207.37584428735107
23,-91.97700157066576,-202.35850329966908
24,-416.40216025332074,-211.2769890060712
25,-354.54747247535124,-217.0078083448424
26,-19.76870812193296,-209.42168910549975
27,-290.1053812800228,-212.40997400085246
28,-217.821788105051,-212.6032530760024
29,-247.09133823622915,-213.79249739187227
30,-171.77555809440804,-212.39193274862345
31,-188.61742208517992,-211.6250130498027
32,-172.00880295678064,-210.38700648439576
33,-92.84178255849838,-206.8250300017928
34,-236.53760446163733,-207.69892925061177
35,-61.05504894584146,-203.5091040990469
36,-438.5544836605626,-210.03814242020013
37,-84.42389662980291,-206.64316280424345
38,-117.32838317889492,-204.29277386673425
39,-379.703209743764,-208.79047735076068
40,-307.5717407845002,-211.26000893660415
41,-531.9111304499454,-219.08076799790518
42,-266.8375124120553,-220.21783334109924
43,-123.89628395726298,-217.977797308917
44,-161.40895456756743,-216.69214179206813
45,-259.29643763363794,-217.63890392188083
46,-35.180029590630326,-213.67240665381016
47,-187.7676684123884,-213.12124201037565
48,-8.533363516099357,-208.8589945417449
49,-204.10526217991145,-208.76197959558502
50,-166.96308840106113,-207.92600177169453
51,-290.66343388848134,-207.8712966375264
52,-87.48552923727085,-207.19908723425132
53,-109.96017029910142,-203.85238775827574
54,-114.79154782148308,-203.29937303890037
55,-152.56240995095675,-202.29350165221297
56,-154.7134502772065,-202.80739734808984
57,-67.1701218753516,-195.4013918847844
58,-186.78072040084203,-191.461551734485
59,-137.77696618069348,-192.5835650246722
60,-127.43381366880438,-188.4781303235282
61,-169.60872744670678,-190.59868052583096
62,-143.97580120483127,-189.8932397812371
63,-174.32222153705038,-191.11937383687334
64,-142.24145603161253,-191.3251127158261
65,-54.16336046470562,-190.07737380221477
66,-149.33282904126952,-187.65566725634653
67,-213.01708594227904,-189.83041835162857
68,-23.901746399799435,-188.59470940662663
69,-138.76270872454683,-187.75342491928686
70,-19.640338966839195,-185.53949606417763
71,-363.34466748314225,-185.67425601161446
72,-138.86229952741513,-179.8908584126679
73,-47.241993287980016,-178.99615824701422
74,-288.76408676346955,-176.44339677721712
75,-415.02567216575306,-177.65296077102522
76,-131.52129667635415,-179.88801254211364
77,-36.93808252809089,-174.824666567075
78,-162.68034334433622,-173.7218376718607
79,-312.20880899544795,-175.0241870870451
80,-85.18388202328596,-173.29235356562262
